method,seed,latent_dim,beta,n_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_samples_silhouette
pca_gmm,42,8,,11,0.056520797312259674,584.3012276400766,2.402865875587466,0.044163481205964715,0.12877069750710785,0.5933406659334066,3000
pca_kmeans,42,8,,12,0.10353527963161469,769.2931353262247,1.8448200158211299,0.029774910664782456,0.10236866926722886,0.5886411358864113,3000
pca_gmm,42,8,,12,0.03643316030502319,476.25828788749317,2.678278455902882,0.05189374164404248,0.13048359795305142,0.5835416458354165,3000
pca_kmeans,42,8,,13,0.10228495299816132,736.4984376943779,1.8735558682736628,0.02655875039258084,0.09909546175043349,0.5896410358964104,3000
pca_gmm,42,8,,13,0.0330268032848835,440.7186811406851,2.7997625994547763,0.047688835537020816,0.1269235008239017,0.5872412758724127,3000
pca_kmeans,42,8,,14,0.10237600654363632,706.1068102093869,1.8897683644561487,0.024573141576915418,0.0968241952487067,0.5900409959004099,3000
pca_gmm,42,8,,14,0.016313666477799416,373.35098866969315,2.9263066851528756,0.03907074853167514,0.11209096479798782,0.5763423657634237,3000
pca_kmeans,42,8,,15,0.09793051332235336,678.5852274922805,1.8583896431443299,0.025754400840365475,0.09979830363732077,0.5949405059494051,3000
pca_gmm,42,8,,15,0.01780855841934681,359.382697499158,3.05192036148105,0.04417540195213647,0.11804952727911855,0.5787421257874212,3000
vae_kmeans,42,16,0.01,2,0.08047548681497574,897.5191010049508,3.2515136495976895,-0.00029634940306050577,0.000668413730491128,0.531946805319468,3000
vae_gmm,42,16,0.01,2,0.08253815025091171,839.5924481667411,3.3411318061255444,0.0058216734511958995,0.00442741255761944,0.531946805319468,3000
vae_kmeans,42,16,0.01,3,0.07155386358499527,795.2129370967667,2.9070740727993694,0.003824729776049302,0.0022183266528387944,0.531946805319468,3000
vae_gmm,42,16,0.01,3,0.034970663487911224,467.29379979458986,3.98499133947938,0.06800087810890992,0.12448778766345349,0.531946805319468,3000
